subject,status,error,fif_path,report_path,metrics_path,report_exists,report_opened,report_has_run1_sync_figure,report_error,metrics_json_present,eeg_regex,et_regex,eeg_sync_label_counts,et_sync_label_counts,sfreq_hz,shared_events_from_annotations,shared_events_from_metrics_json,shared_event_count_matches_metrics_json,first_raw_onset_s,last_raw_onset_s,event_span_s,all_fit_slope,all_fit_intercept,all_mean_abs_residual_ms,all_median_abs_residual_ms,all_max_abs_residual_ms,all_rmse_residual_ms,all_within_1_sample,all_within_4_samples,first_last_fit_slope,first_last_fit_intercept,first_last_mean_abs_residual_ms,first_last_median_abs_residual_ms,first_last_max_abs_residual_ms,first_last_rmse_residual_ms,first_last_within_1_sample,first_last_within_4_samples,delta_mean_abs_residual_ms,delta_median_abs_residual_ms,delta_max_abs_residual_ms,delta_rmse_residual_ms,mean_abs_line_diff_ms,max_abs_line_diff_ms,metrics_mean_abs_sync_error_ms,metrics_median_abs_sync_error_ms,metrics_regression_slope,metrics_within_1_sample,metrics_within_4_samples
sub-NDARAN160GUF,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAN160GUF/eeg/sub-NDARAN160GUF_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAN160GUF/eeg/sub-NDARAN160GUF_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAN160GUF/misc/sub-NDARAN160GUF_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:9,ET_# Message: 14:9;ET_# Message: 20:2,500.0,11,11,True,120.900002,241.863998,120.96399600000001,0.9999999339479629,-0.0007334838904663036,2.890745044742909,2.1235633324465653,10.90346958187638,4.0909562920562115,5,10,0.9999310042634504,0.018503584686840213,5.985938210161831,3.8879547972783257,15.577055553279706,7.856017356077441,3,7,3.095193165418922,1.7643914648317605,4.673585971403327,3.7650610640212294,5.985938210187669,10.90346958187638,2.8906168994922155,2.124475235319778,0.9999999913092014,5,10
sub-NDARAP049KXJ,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP049KXJ/eeg/sub-NDARAP049KXJ_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP049KXJ/eeg/sub-NDARAP049KXJ_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP049KXJ/misc/sub-NDARAP049KXJ_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:15,ET_# Message: 14:15;ET_# Message: 20:2,500.0,17,17,True,32.931999,154.587997,121.65599800000001,0.9999999945974345,-0.00040109529799684586,2.6837003710394423,1.2259304697863627,15.511273215274457,4.547525332801945,10,16,0.9998825705248005,0.01897718735984455,7.385831282497727,6.200539022231055,20.779504898229106,9.8582947251544,5,10,4.702130911458285,4.974608552444693,5.268231682954649,5.310769392352454,7.385831282503579,15.511273215274457,2.6846412911200113,1.2268027456059372,0.9999999870102378,10,16
sub-NDARAP457WB5,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP457WB5/eeg/sub-NDARAP457WB5_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP457WB5/eeg/sub-NDARAP457WB5_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP457WB5/misc/sub-NDARAP457WB5_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:5;trialResponse:53,ET_# Message: 14:53;ET_# Message: 20:5,500.0,58,58,True,50.07,171.294006,121.224006,1.000000006473897,0.0009193413749749661,1.4484619597884465,1.1058844020723768,15.956334477003509,2.5445951259264437,44,57,0.999895655980879,0.022100505037386142,9.453384450416255,10.360309234926035,17.05018779084355,10.483801729937287,3,20,8.00492249062781,9.254424832853658,1.093853313840043,7.9392066040108435,9.453384450384894,15.956334477003509,1.448287602420669,1.1063669240627405,0.9999999949884654,44,57
sub-NDARAP912JK3,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP912JK3/eeg/sub-NDARAP912JK3_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP912JK3/eeg/sub-NDARAP912JK3_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAP912JK3/misc/sub-NDARAP912JK3_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:18,ET_# Message: 14:18;ET_# Message: 20:3,500.0,21,21,True,38.667999,162.098007,123.43000799999999,1.000000007493278,0.00037121583920620105,1.3778080276748164,1.077695462470274,7.3534944107223055,2.110876597212174,17,21,0.9999683221279546,0.008949919924575056,5.26287586008255,5.851552926770864,9.580014249849,5.805318510746186,2,20,3.885067832407734,4.77385746430059,2.226519839126695,3.6944419135340123,5.262875860029091,7.3534944107223055,1.3776456203969256,1.0785390110754633,0.9999999971112636,17,21
sub-NDARAV454VF0,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAV454VF0/eeg/sub-NDARAV454VF0_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAV454VF0/eeg/sub-NDARAV454VF0_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAV454VF0/misc/sub-NDARAV454VF0_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:9,ET_# Message: 14:9;ET_# Message: 20:2,500.0,11,11,True,62.144001,182.190002,120.04600099999999,0.9999999534625198,0.0001136774281624226,3.8583894783625086,3.235934796038009,14.09121459705176,5.272849904118076,4,10,0.9998946653791493,0.020747914783477484,8.10721368109765,6.89992976114695,17.61571891904623,10.052028892750172,2,6,4.248824202735141,3.663994965108941,3.5245043219944705,4.779178988632096,7.378065678629753,14.09121459705176,3.860015691351748,3.239579383347291,0.9999999836016203,4,10
sub-NDARAX722PKY,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAX722PKY/eeg/sub-NDARAX722PKY_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAX722PKY/eeg/sub-NDARAX722PKY_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAX722PKY/misc/sub-NDARAX722PKY_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:6,ET_# Message: 14:6;ET_# Message: 20:2,500.0,8,8,True,50.082001,175.972,125.88999900000002,1.000000023863899,0.0002913214085785063,2.1411105620856574,2.005296328889017,5.295483439610393,2.5470653584459955,4,8,0.9999670029388115,0.007240558851442813,3.490688166763789,4.2678407533287555,6.855847715485197,4.362639108729354,3,8,1.3495776046781316,2.2625444244397386,1.5603642758748038,1.8155737502833587,3.242820204473418,5.295483439610393,2.140955212900586,2.0085138478691533,0.9999999965128054,4,8
sub-NDARAY298THW,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY298THW/eeg/sub-NDARAY298THW_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY298THW/eeg/sub-NDARAY298THW_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY298THW/misc/sub-NDARAY298THW_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:23,ET_# Message: 14:23;ET_# Message: 20:3,500.0,26,26,True,36.402,162.147995,125.74599500000001,1.0000000090524477,0.0007501821802782902,1.911534891651019,1.3100438018760485,14.001488292521458,3.249600268409685,18,25,0.9999171424903036,0.017768179067971346,8.475397709047227,8.798118049959669,15.386566366196064,9.618100191130832,2,12,6.563862817396208,7.48807424808362,1.385078073674606,6.368499922721147,8.475397709084941,14.001488292521458,1.9118706379937467,1.3095868830674817,0.9999999928323549,18,25
sub-NDARAY461TZZ,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY461TZZ/eeg/sub-NDARAY461TZZ_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY461TZZ/eeg/sub-NDARAY461TZZ_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY461TZZ/misc/sub-NDARAY461TZZ_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:30,ET_# Message: 14:30;ET_# Message: 20:3,500.0,33,33,True,29.632,151.908005,122.276005,0.9999999842702418,0.00035308442143693064,1.3443208940384508,1.127833158271585,6.128381682753314,1.750136623869916,27,33,0.9999471196331611,0.008047951030167866,3.0686663219826773,2.399043227370612,8.10396579649364,3.7856975437509965,12,32,1.7243454279442265,1.271210069099027,1.9755841137403252,2.0355609198810805,2.7810643645509647,6.128381682753314,1.343767821956581,1.1280800505559796,0.9999999977684753,27,33
sub-NDARAY475AKD,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY475AKD/eeg/sub-NDARAY475AKD_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY475AKD/eeg/sub-NDARAY475AKD_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAY475AKD/misc/sub-NDARAY475AKD_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:8,ET_# Message: 14:8;ET_# Message: 20:2,500.0,10,10,True,32.667999,162.966003,130.298004,1.000000001835754,-0.0007328785222779368,1.936753394084434,1.3560187724230843,4.940818551865789,2.467442887532261,6,10,0.9999659549658182,0.005320183142607959,3.141596732180574,2.7329888429790117,8.511788134470066,3.991997204662417,4,9,1.2048433380961399,1.3769700705559274,3.5709695826042775,1.5245543171301557,2.7420921059167824,4.940818551865789,1.93712099884209,1.3557934110330905,0.9999999969684686,6,10
sub-NDARAZ532KK0,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAZ532KK0/eeg/sub-NDARAZ532KK0_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAZ532KK0/eeg/sub-NDARAZ532KK0_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAZ532KK0/misc/sub-NDARAZ532KK0_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:12,ET_# Message: 14:12;ET_# Message: 20:2,500.0,14,14,True,42.765999,164.511993,121.745994,1.0000000202994581,0.000330216664814791,2.5989350296699496,1.9277288405419313,9.849915208576476,3.5095116630722716,8,13,0.9999439488744083,0.012578082380997557,5.967456723085312,5.612008366234988,13.523338426907117,7.281029116633702,3,10,3.3685216934153623,3.684279525693057,3.6734232183306403,3.7715174535614304,5.9408076068621085,9.849915208576476,2.598332041445011,1.9264622405330556,0.9999999928357409,8,13
